Code,Merchant Category Name
0742,Veterinary services
0743,Wine Producers
0744,Champagne producers
0763,Agricultural Co-operatives
0780,Landscaping and Horticulture Services
0820,Fertilizer Dealers
0821,Pesticides/Insecticides
0822,Seeds
0823,Farm Equipment
0824,Agricultural Machinery
0825,other Agri Inputs
0880,Agriculture Produce Procurement Merchant
1520,General contractors-residential and commercial
1711,"Heating, Plumbing and air conditioning contracts"
1731,Electrical Contractors
1740,"Masonry, stonework, tile setting, plastering"
1750,Carpentry contractors
1761,"Roofing, sliding and sheet metal work contractors"
1771,Concrete Work Contractors
1799,Special trade contractors-not elsewhere classified
2741,Miscellaneous Publishing and Printing
2791,"Typesetting, Platemaking and related services"
2842,"Speciality cleaning, polishing and sanitation preparations"
3000,AIR UNITED AIRLINES
3001,AMERICAN AIRLINES
3002,PAN AMERICAN
3003,EUROFLY
3004,TRANS WORLD AIRLINES
3005,BRITISH AIRWAYS
3006,JAPAN AIRLINES
3007,AIR FRANCE
3008,LUFTHANSA
3009,AIR CANADA
3010,KLM (ROYAL DUTCH AIRLINES)
3011,AEROFLOT
3012,AIR QANTAS
3013,AIR ALITALIA
3014,SAUDI ARABIAN AIRLINES
3015,SWISSAIR
3016,AIRLINE SAS
3017,SOUTH AFRICAN AIRWAYS
3018,AIR VARIG (BRAZIL)
3020,AIR-INDIA
3021,AIR ALGERIE
3022,PHILIPPINE AIRLINES
3023,AIR MEXICANA
3024,PAKISTAN INTERNATIONAL
3025,AIR NEW ZEALAND
3026,EMIRATES AIRLINES
3027,AIRLINE UTA/INTERAIR
3028,AIR MALTA
3029,AIR SABENA
3030,AEROLINEAS ARGENTINAS
3031,OLYMPIC AIRWAYS
3032,AIR EL AL
3033,ANSETT AIRLINES
3034,AUSTRALIAN AIRLINES
3035,AIRLINE TAP (PORTUGAL)
3036,AIR VASP (BRAZIL)
3037,EGYPTAIR
3038,KUWAIT AIRWAYS
3039,AVIANCA
3040,GULF AIR (BAHRAIN)
3041,BALKAN-BULGARIAN AIRLINES
3042,FINNAIR
3043,AER LINGUS
3044,AIR LANKA
3045,NIGERIA AIRWAYS
3046,CRUZEIRO DO SUL (BRAZIL)
3047,IRLINE THY (TURKEY)
3048,AIR MAROC
3049,AIR TUNIS AIR
3050,ICELANDAIR
3051,AUSTRIAN AIRLINES
3052,AIR LANCHILE
3053,AIR AVIACO (SPAIN)
3054,AIR LADECO (CHILE)
3055,AIRLINE LAB (BOLIVIA)
3056,QUEBECAIRE
3057,EAST/WEST AIRLINES (AUSTRALIA)
3058,AIR DELTA
3059,DBA Airlines
3060,AIR NORTHWEST
3061,CONTINENTAL
3062,HAPAG LLOYD Airlines
3063,U.S. AIR
3064,ADRIA AIR
3065,AIRINTER
3066,SOUTHWESTAIR
3067,AIRLINES VANAGUARD
3068,AIR ASTANA - AIRSTANA
3071,AIR BRITISH COLUMBIA
3072,CEBU Pacific - CEBU PAC
3075,SINGAPORE AIRLINES
3076,AEROMEXICO
3077,THAI AIRWAYS
3078,CHINA AIRLINES
3079,Jetstar Airways
3081,NORDAIR
3082,KOREAN AIRLINES
3083,AIR AFRIQUE
3084,EVA AIRLINES
3085,ARILINES MIDWEST EXP
3086,CARNIVAL AIR
3087,METRO AIRLINES
3088,CROATIA AIRLINES
3089,TRANSAERO
3090,UNI AIRWAYS
3092,MIDWAY AIRLINES
3094,ZAMBIA AIRWAYS
3096,AIR ZIMBABWE
3097,SPANAIR
3098,ASIANA AIR
3099,AIR CATHAY PACIFIC
3100,MALAYSIAN AIRLINE SYSTEM
3102,IBERIA AIR
3103,AIR GARUDA (INDONESIA)
3106,BRAATHENSAIR BRAATHENS S.A.F.E. (NORWAY)
3110,AIR WINGS AIRWAYS
3111,BRMIDLANDAIR
3112,WINDWRDISAIR
3115,TOWERAIR
3117,AIR VIASA
3118,VALLEY AIRLINES
3125,AIRLINE TAN
3126,TALAIR
3127,AIR TACA INTERNATIONAL
3129,SURINAM AIRWAYS
3130,SUN WORLD INTERNATIONAL
3131,VLM AIRLINES
3132,FRONTIER AIR
3133,SUNBELT AIRLINES
3135,SUDAN AIRWAYS
3136,QATAR AIRWAYS COMPANY
3137,SINGLETONAIR SINGLETON
3138,SIMMONS AIRLINES
3143,SCENIC AIRLINES
3144,VIRGIN ATLANTIC
3145,SAN JUAN AIRLINES
3146,LUXAIR
3148,AIR LITTORAL
3151,AIR ZAIRE
3154,PRINCEVILLE
3156,GO FLY AIRLINES
3159,PBA AIRLINE
3161,NIPPON AIRWAYS
3164,NORONTAIR
3165,NEW YORK HELICOPTER
3167,AERO CONTINENTE
3170,AIR MOUNT COOK
3171,CANADIAN AIRLINES
3172,NATIONAIR
3174,JET BLUE AIRWAYS
3175,MIDDLE EAST AIR
3176,METROFLIGHT AIRLINES
3177,AIRTRAN AIRWAYS
3178,MESA AIR
3180,WESTJET AIRLINES
3181,AIR MALEV
3182,AIRLINE LOT (POLAND)
3183,OMAN AIR
3184,AIRLINE LIAT
3185,AIRLINE LAV (VENEZUELA)
3186,AIRLINE LAP (PARAGUAY)
3187,AIR LACSA (COSTA RICA)
3188,VIRGIN EXPRESS
3190,AIR JUGOSLAV AIR
